2021-06-16T12:06:55.129Z [AUDIT] Token created by 'jffe@000': tokenId='b5ce1f55-0da0-4f6f-b337-5537dedf398f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623845815129, refreshable=false
2021-06-16T12:06:55.132Z [AUDIT] Token created by 'jffe@000': tokenId='71ef89a9-d3c4-48de-a87c-11acf28ae24e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623845815132, refreshable=false
2021-06-16T12:06:55.134Z [AUDIT] Token created by 'jffe@000': tokenId='3b728bad-26df-41da-948c-2ad0dd30dec1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623845815134, refreshable=false
2021-06-16T12:09:54.062Z [AUDIT] Token created by 'jffe@000': tokenId='05002422-d818-4e4a-8756-452565acfce7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623845994062, refreshable=false
2021-06-16T12:16:55.183Z [AUDIT] Token created by 'jffe@000': tokenId='9f4580f8-ccd4-4f23-a880-35ff5f104838', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623846415183, refreshable=false
2021-06-16T12:16:55.183Z [AUDIT] Token created by 'jffe@000': tokenId='0fa97525-fe8d-4565-b887-19108c2f4a25', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623846415183, refreshable=false
2021-06-16T12:16:55.191Z [AUDIT] Token created by 'jffe@000': tokenId='1fc3d423-78f6-437a-8c67-06dfd746d27f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623846415191, refreshable=false
2021-06-16T12:19:54.107Z [AUDIT] Token created by 'jffe@000': tokenId='843a343f-4278-4a22-825c-b16a52622160', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623846594107, refreshable=false
2021-06-16T12:20:54.252Z [AUDIT] Token created by 'jffe@000': tokenId='e0b15468-782f-4797-8340-992ae4d79975', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623847854242, refreshable=true
2021-06-16T12:20:54.334Z [AUDIT] Token created by 'jffe@000': tokenId='50f74ec9-29c5-406b-8544-f412c418d660', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623846654334, refreshable=false
2021-06-16T12:26:55.241Z [AUDIT] Token created by 'jffe@000': tokenId='d7bfebd8-feac-4b95-9ffa-2579641abb8e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623847015241, refreshable=false
2021-06-16T12:26:55.241Z [AUDIT] Token created by 'jffe@000': tokenId='df350520-c2de-446f-9e50-8b21c1fa2206', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623847015241, refreshable=false
